OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,STRZUSTAND,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,Teilnehmer,color,symbol
63936,9,1,79,145,2016,2,7,5,3,2,6,0,1,0,1,0,0,0,0,673852.4635,5335532757.0,11.337423231,48.149264171,2,#fc8d62,car
63941,9,1,82,127,2016,2,16,6,3,2,6,0,0,0,1,0,0,0,0,702658.2987,5311005.1516,11.712690199,47.920310578,2,#fc8d62,car
63943,9,1,79,118,2016,2,14,3,3,5,3,0,0,1,1,0,0,0,0,672800209.0,5337430.1172,11.32405855,48.166607288,1,#66c2a5,bicycle
63947,9,1,88,120,2016,2,8,6,3,0,7,0,0,0,1,0,0,0,0,672928.1051,5322698.0684,11.319807939,48.034136883,2,#fc8d62,car
63952,9,1,62,0,2016,2,13,6,3,2,6,0,0,0,1,0,0,0,0,694149.0552,5336788.2437,11.610602449,48.154677371,2,#fc8d62,car
63953,9,7,77,124,2016,2,6,4,3,8,1,2,2,0,0,0,0,0,1,614345.6454,5307001.3423,10.530120682,47.906140602,6,#ffd92f,circle
63956,9,7,72,147,2016,2,15,3,3,2,6,0,1,0,1,0,0,0,0,638746.8635,5365280.2028,10.875498724,48.425379214,2,#fc8d62,car
63961,9,1,84,138,2016,2,14,2,3,4,2,0,0,1,1,0,0,0,0,680422.4592,5330902324.0,11.423715056,48.105811968,1,#66c2a5,bicycle
63965,9,1,79,114,2016,2,20,6,3,2,2,2,1,0,1,0,0,0,0,651856.77,5344224.1406,11.045011505,48.233042111,2,#fc8d62,car
63971,9,1,79,136,2016,2,18,6,2,5,3,2,1,0,1,0,0,0,0,661840.5925,5343137.4696,11.178947984,48.220803446,2,#fc8d62,car
63979,9,1,77,113,2016,2,16,4,1,4,6,0,1,0,1,0,0,0,0,719950.2796,5356274.8764,11.967198928,48.321362324,2,#fc8d62,car
63985,9,1,62,0,2016,2,15,7,3,8,1,0,1,0,1,0,0,0,0,688918.8795,5340123.5489,11.541830246,48.186230478,2,#fc8d62,car
63988,9,1,81,123,2016,2,16,6,2,9,1,0,0,0,1,0,0,0,0,655386.7819,5326598.1574,11.086080487,48.073712547,2,#fc8d62,car
63990,9,1,82,133,2016,2,6,5,3,8,1,1,2,0,1,0,0,0,0,709355.5029,5311801.7622,11.802613659,47.925317818,2,#fc8d62,car
63993,9,7,72,157,2016,2,6,5,3,8,1,1,2,0,1,0,0,0,0,626879.9114,5335799.2559,10.70630728,48.16276792,2,#fc8d62,car
64000,9,7,78,203,2016,2,6,5,3,5,3,2,2,0,1,0,0,0,0,620720.2704,5322071.96,10.619622746,48.040512216,2,#fc8d62,car
64003,9,1,84,119,2016,2,21,6,3,2,6,2,0,0,1,0,0,1,0,696475.4987,5348392.1757,11.647222914,48.25825058,2,#fc8d62,car
64011,9,1,81,120,2016,2,6,6,3,9,1,2,1,0,1,0,0,0,0,651825.8751,5318584.1505,11.035465225,48.002512868,2,#fc8d62,car
64012,9,1,75,118,2016,2,21,6,3,5,3,2,0,0,1,0,0,0,0,715138.1083,5342143.1738,11.895183949,48.196040988,2,#fc8d62,car
64014,9,1,74,113,2016,2,9,5,3,2,6,0,1,0,1,0,0,0,0,673654.8275,5345481967.0,11.338837286,48.238755492,2,#fc8d62,car
64016,9,2,74,128,2016,2,18,6,3,5,2,2,0,0,1,0,0,0,0,735126.2183,5386216.7727,12.18842236,48.584858562,2,#fc8d62,car
64025,9,1,62,0,2016,2,10,5,3,3,2,0,0,1,1,0,0,0,0,688654.9783,5336268.5738,11.536572828,48.151660046,1,#66c2a5,bicycle
64033,9,1,84,148,2016,2,23,5,3,5,3,2,0,0,1,0,0,0,0,697136.8716,5326628.6175,11.646039012,48.062449699,2,#fc8d62,car
64034,9,1,88,139,2016,2,12,2,3,1,5,0,0,0,1,0,0,0,0,674076.7242,5320007.4429,11.334110537,48.009636978,2,#fc8d62,car
64037,9,1,73,118,2016,2,9,4,3,5,3,0,1,0,1,0,0,0,1,694148.69,5302762.8477,11.595202602,47.848860983,2,#fc8d62,car
64038,9,1,79,138,2016,2,7,5,3,9,1,0,2,0,1,0,0,0,0,657471.9004,5334226.2141,11.116869514,48.141784006,2,#fc8d62,car
64044,9,7,61,0,2016,2,13,7,3,3,1,0,1,0,1,0,0,0,0,639930.9448,5353998.3424,10.887740349,48.323674189,2,#fc8d62,car
64045,9,1,74,126,2016,2,14,3,3,1,6,0,0,0,1,0,0,0,0,683567478.0,5344047271.0,11.471596953,48.223067739,2,#fc8d62,car
64049,9,1,84,123,2016,2,16,5,2,6,3,0,0,0,1,1,0,0,0,702632.6751,5331980.8646,11.722259424,48.108828131,2,#fc8d62,car
64050,9,7,71,114,2016,2,23,1,1,8,7,2,0,0,1,0,0,0,0,648212.4925,5371931.7229,11.005725744,48.483026813,2,#fc8d62,car
