OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,Teilnehmer,color,symbol
190162,"9,21E+18",9,1,63,0,2021,2,18,5,3,5,2,2,1,1,0,0,0,0,731870.904333,5304581.7577,12.099712687,47.852705771,0,1,#66c2a5,bicycle
190171,"9,21E+18",9,1,62,0,2021,2,12,2,2,5,3,0,0,1,0,0,0,0,687908.005033,5330409.96607,11.5239566,48.099222589,1,2,#fc8d62,car
190174,"9,21E+18",9,1,62,0,2021,1,8,3,3,6,2,0,0,1,1,0,0,0,691473.692201,5340342.36323,11.576267067,48.187432255,1,2,#fc8d62,car
190177,"9,21E+18",9,1,62,0,2021,1,6,4,2,3,2,2,1,0,0,0,1,0,690146.522001,5335251029,11.556152376,48.142070213,2,1,#66c2a5,bicycle
190178,"9,21E+18",9,1,86,152,2021,2,9,7,3,4,6,0,0,1,0,0,0,0,694435.274519,5378981.79817,11.633926091,48.533791812,1,2,#fc8d62,car
190181,"9,21E+18",9,7,72,147,2021,1,11,5,3,4,2,0,1,1,0,0,0,0,634359476,5365696.84,10.81635765,48.430076741,1,1,#66c2a5,bicycle
190183,"9,21E+18",9,1,62,0,2021,1,8,1,3,5,3,0,0,1,0,0,1,0,693166.298399,5341024.50956,11.59932701,48.193050703,2,2,#fc8d62,car
190185,"9,21E+18",9,7,71,130,2021,1,12,3,3,4,1,0,0,1,0,0,0,0,646288.593233,5357077415,10.974525704,48.349919859,2,2,#fc8d62,car
190189,"9,21E+18",9,1,62,0,2021,1,13,6,3,5,3,0,0,1,0,0,0,0,688984.001719,5342157.20174,11.543610694,48.204489595,0,2,#fc8d62,car
190197,"9,21E+18",9,7,77,151,2021,1,12,5,3,4,1,0,0,1,0,0,1,0,620927.68107,5293277.92471,10.614328093,47.781507076,2,2,#fc8d62,car
190198,"9,21E+18",9,1,63,0,2021,1,6,4,3,0,1,1,1,0,0,0,0,0,733883.806544,5305332.60023,12.126986408,47.858722106,2,1,#66c2a5,bicycle
190200,"9,21E+18",9,7,61,0,2021,1,15,3,3,5,3,0,0,1,0,0,0,0,638909.553699,5356158.28879,10.874681027,48.343321355,2,2,#fc8d62,car
190202,"9,21E+18",9,7,77,177,2021,1,14,6,3,0,1,0,1,0,0,0,0,0,632413.359632,5317203.61647,10.774922685,47.994413898,0,1,#66c2a5,bicycle
190203,"9,21E+18",9,1,62,0,2021,1,9,4,2,0,5,0,1,1,0,0,0,0,684442.373103,5337512.68802,11.480526993,48.164078346,0,1,#66c2a5,bicycle
190205,"9,21E+18",9,1,88,120,2021,1,12,2,3,4,2,0,0,1,0,0,0,0,673233.095001,5326092435,11.325269814,48.064568548,0,2,#fc8d62,car
190206,"9,21E+18",9,1,63,0,2021,1,16,1,3,9,1,0,0,1,0,0,0,0,732064.494777,5305917.87876,12.103013631,47.864639893,2,2,#fc8d62,car
190217,"9,21E+18",9,1,62,0,2021,1,20,5,3,3,2,2,1,1,0,0,0,0,690233.866812,5339008.57443,11.559005489,48.175816769,2,1,#66c2a5,bicycle
190219,"9,21E+18",9,7,61,0,2021,1,20,7,3,5,7,2,0,1,0,0,0,0,642779.488588,5358480.49231,10.927665924,48.363338725,0,2,#fc8d62,car
190220,"9,21E+18",9,1,81,128,2021,1,12,7,2,0,1,0,1,0,0,0,0,0,638462282,5327336743,10.859238594,48.084253782,0,1,#66c2a5,bicycle
190223,"9,21E+18",9,1,81,128,2021,1,10,5,3,9,1,0,0,1,0,0,0,0,639384.290461,5332132.23307,10.873179028,48.127174903,1,2,#fc8d62,car
190227,"9,21E+18",9,1,62,0,2021,1,18,4,3,4,2,2,1,1,0,0,0,0,691348.927712,5337343.82726,11.573240404,48.160519534,0,1,#66c2a5,bicycle
190231,"9,21E+18",9,1,84,148,2021,1,6,5,3,0,4,2,1,0,1,0,0,0,695290.005972,5326433.03163,11.621187453,48.061259806,1,1,#66c2a5,bicycle
190232,"9,21E+18",9,7,61,0,2021,1,10,3,3,1,7,0,0,1,0,0,0,0,637220.943683,5362518.97571,10.853980373,48.40088502,2,2,#fc8d62,car
190233,"9,21E+18",9,1,62,0,2021,2,20,5,3,4,6,2,1,0,0,0,0,0,699469.927054,5332687.09713,11.680148479,48.11617338,0,1,#66c2a5,bicycle
190234,"9,21E+18",9,7,77,145,2021,1,7,3,3,4,1,1,0,1,0,0,0,0,631539075,5326429727,10.766043122,48.077563447,2,2,#fc8d62,car
190237,"9,21E+18",9,1,62,0,2021,1,14,4,3,0,7,0,0,0,1,0,0,1,687703.527243,5332120.27257,11.521965283,48.114655596,1,3,#8da0cb,toilet
190239,"9,21E+18",9,1,62,0,2021,2,14,1,3,0,7,0,0,1,0,0,0,0,693895.817329,5334660.87095,11.60623217,48.135634574,1,2,#fc8d62,car
190243,"9,21E+18",9,1,86,143,2021,1,19,2,2,0,1,2,1,0,0,0,0,0,685639.679325,5377910.01636,11.514421282,48.526822363,2,1,#66c2a5,bicycle
190245,"9,21E+18",9,1,62,0,2021,1,8,3,3,6,2,0,0,1,1,0,0,0,691232.68708,5333528.18992,11.569965224,48.126259958,1,2,#fc8d62,car
190247,"9,21E+18",9,1,62,0,2021,1,17,4,3,0,1,1,1,0,0,0,0,0,689685.36996,5336019.10853,11.550301655,48.14911139,2,1,#66c2a5,bicycle
190250,"9,21E+18",9,7,61,0,2021,2,17,3,3,6,2,1,0,1,1,0,0,0,639284.187795,5360261.01298,10.881092444,48.380129606,1,2,#fc8d62,car
190253,"9,21E+18",9,1,62,0,2021,2,18,3,3,5,3,2,0,1,0,0,0,1,692543.012186,5334814.20149,11.588137185,48.137423405,1,2,#fc8d62,car
190255,"9,21E+18",9,2,61,0,2021,1,12,6,3,6,4,0,0,1,1,0,0,0,732916.590123,5381896.82865,12.15608853,48.546879404,1,2,#fc8d62,car
190258,"9,21E+18",9,1,78,124,2021,1,14,5,3,0,1,0,1,0,0,0,0,0,704668.527227,5364052.49234,11.765084324,48.396384505,1,1,#66c2a5,bicycle
190259,"9,21E+18",9,1,62,0,2021,2,20,7,3,3,7,2,0,1,0,0,1,0,686245.822574,5332442.08487,11.502539715,48.117976148,0,2,#fc8d62,car
190262,"9,21E+18",9,1,84,119,2021,2,17,3,2,6,4,2,0,1,1,0,0,0,696372.23823,5347454.34037,11.645398053,48.249854087,1,2,#fc8d62,car
