OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,Teilnehmer,color,symbol
54261,9,1,62,0,2019,2,10,5,3,2,6,0,0,0,0,0,1,1,691570.78483,5344866.44303,11.579614598,48.22806423,0,5,#a6d854,bus
54265,9,1,73,123,2019,2,8,6,3,5,3,0,0,1,0,0,0,0,681944.121397,5299649.79463,11.430911785,47.824447366,2,2,#fc8d62,car
54268,9,1,73,134,2019,2,9,6,3,4,1,0,0,1,0,0,0,0,686766.731394,5298291.05143,11.49469768,47.810851754,2,2,#fc8d62,car
54270,9,1,73,118,2019,2,5,6,3,2,1,2,0,1,0,0,0,1,688852.1787,5302151.69564,11.524208984,47.844945501,2,2,#fc8d62,car
54294,9,1,87,124,2019,2,14,6,3,5,3,0,0,1,0,0,0,0,732993.491141,5329598.38782,12.128251116,48.077046158,0,2,#fc8d62,car
54297,9,1,87,182,2019,2,16,6,3,2,6,0,0,1,0,0,0,0,738521.582662,5328442.74155,12.201709762,48.064621634,1,2,#fc8d62,car
54302,9,1,87,174,2019,2,12,6,3,2,2,0,0,1,0,0,0,1,742858.00403,5310292.12712,12.249561941,47.899944719,1,2,#fc8d62,car
54303,9,7,71,162,2019,2,8,5,3,8,1,0,0,1,0,0,0,0,667123.083469,5368053.24766,11.259893659,48.44341914,2,2,#fc8d62,car
54304,9,1,87,182,2019,2,15,6,3,1,6,0,0,1,0,0,0,0,740608.501236,5327754.89539,12.229289987,48.057659352,0,2,#fc8d62,car
54311,9,7,71,129,2019,2,10,1,3,3,1,0,0,1,0,0,0,0,658841.345652,5356954.66297,11.14379134,48.345784234,2,2,#fc8d62,car
54313,9,1,85,158,2019,2,13,6,3,2,6,0,0,1,0,0,0,0,668429198,5380347115,11.282499313,48.553583985,0,2,#fc8d62,car
54315,9,1,85,113,2019,2,7,6,3,8,1,0,0,1,0,0,0,0,670091.999172,5376832.14199,11.303579439,48.521538913,2,2,#fc8d62,car
54317,9,1,74,113,2019,2,10,1,3,3,1,0,0,1,0,0,0,0,674001.378354,5345227.44138,11.343396142,48.236372486,2,2,#fc8d62,car
54318,9,1,86,126,2019,2,7,6,3,5,3,1,0,1,0,0,0,0,689054.301794,5375322.24865,11.55945095,48.502546057,1,2,#fc8d62,car
54321,9,1,87,165,2019,2,11,4,3,1,6,0,0,1,0,0,0,0,732936.559755,5299685.05971,12.111303815,47.808327755,0,2,#fc8d62,car
54324,9,1,88,121,2019,2,13,6,3,5,3,0,0,1,0,0,0,0,671949838,5329723875,11.30952105,48.09756145,0,2,#fc8d62,car
54327,9,1,74,150,2019,2,5,6,3,2,6,2,0,1,0,0,0,1,679386.390958,5358683.08485,11.421569913,48.35582077,2,2,#fc8d62,car
