fid,OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,Teilnehmer,color,symbol
12145,174006,"9,20102000857144E+018",9,1,84,119,2020,10,7,3,3,5,7,0,1,1,0,0,0,0,697082.5137,5347615.9023,11.655030983,48.251085628,0,1,#66c2a5,bicycle
12146,174008,"9,20101900140144E+018",9,1,87,150,2020,10,12,2,3,3,3,0,0,1,0,0,0,0,728574.4671,5303712.9239,12.055251339,47.846080307,0,2,#fc8d62,car
12147,174009,"9,20101600851546E+018",9,1,62,0,2020,10,19,6,3,2,6,2,1,1,0,0,0,0,690308.4096,5332745.8929,11.557207528,48.119505633,1,1,#66c2a5,bicycle
12148,174010,"9,20102000857145E+018",9,1,62,0,2020,10,10,3,3,1,5,0,0,1,0,1,0,0,693888.9203,5333994.6027,11.605836364,48.129648482,0,2,#fc8d62,car
12149,174014,"9,20101700141344E+018",9,1,87,150,2020,10,13,7,3,5,3,0,1,1,0,0,0,0,729170.1466,5304139.4523,12.063427636,47.849700426,1,1,#66c2a5,bicycle
12150,174017,"9,20101800712146E+018",9,7,71,130,2020,10,16,1,3,6,2,0,0,1,1,0,0,0,645293.4952,5358677.2597,10.961654983,48.364534324,0,2,#fc8d62,car
12151,174018,"9,20101600851447E+018",9,1,62,0,2020,10,9,6,3,1,2,0,0,1,1,0,1,0,690356953,5334063.4674,11.558447584,48.131333498,1,2,#fc8d62,car
12152,174019,"9,20102000851545E+018",9,1,62,0,2020,10,7,3,3,0,7,1,1,0,0,0,0,0,689535.8927,5332093.0863,11.546547581,48.113868555,0,1,#66c2a5,bicycle
12153,174024,"9,20101700131344E+018",9,1,86,143,2020,10,16,7,2,0,1,0,1,0,0,0,0,0,686069.9723,5379699.0269,11.521042249,48.542773936,0,1,#66c2a5,bicycle
12154,174027,"9,20101600141346E+018",9,1,63,0,2020,10,12,6,3,5,2,0,0,1,0,0,0,0,734195192,5304463164,12.130672481,47.850797723,0,2,#fc8d62,car
12155,174029,"9,20101600120547E+018",9,1,79,121,2020,10,16,6,3,2,6,0,0,1,0,0,0,0,666615675,5339090.2154,11.241598311,48.183182759,1,2,#fc8d62,car
12156,174030,"9,20101800140144E+018",9,1,87,150,2020,10,17,1,3,2,6,0,0,1,0,0,0,0,729418.8136,5304060.2593,12.066704782,47.84890022,0,2,#fc8d62,car
12157,174034,"9,20101900858246E+018",9,1,62,0,2020,10,11,2,3,2,2,0,0,1,0,0,0,0,686757.9033,5336998.3183,11.511411403,48.15877907,0,2,#fc8d62,car
12158,174035,"9,20101600110744E+018",9,1,78,156,2020,10,9,6,3,2,6,0,0,0,0,0,1,1,699339.9891,5373435.6704,11.697643636,48.482413528,1,5,#a6d854,bus
12159,174038,"9,20101500858247E+018",9,1,62,0,2020,10,11,5,3,5,7,0,1,0,0,0,0,0,691524.9106,5335419.5468,11.574738603,48.143171405,0,1,#66c2a5,bicycle
