OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstSonstig,ULICHTVERH,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,Teilnehmer,color,symbol
170750,"9,17E+18",9,1,63,0,2017,3,13,2,3,0,1,0,0,0,1,0,0,0,732703.5352,5305485.0346,12.111312518,47.860520048,4,#e78ac3,marker
170751,"9,17E+18",9,1,87,137,2017,3,19,2,2,0,3,1,1,0,0,0,0,0,731288021.0,5308244175.0,12.09389193,47.885819908,1,#66c2a5,bicycle
170757,"9,17E+18",9,1,81,130,2017,3,10,2,3,5,3,1,1,0,0,0,0,0,639428.9076,5324315.7469,10.871225628,48.056877475,1,#66c2a5,bicycle
170758,"9,17E+18",9,1,62,0,2017,3,16,1,3,5,2,0,1,0,1,0,0,0,688997.3972,5336198.5366,11.541141051,48.150928889,2,#fc8d62,car
170759,"9,17E+18",9,1,62,0,2017,3,21,1,3,2,6,0,1,0,0,0,2,0,690578.1894,5337138.1542,11.56279424,48.158902436,2,#fc8d62,car
170760,"9,17E+18",9,1,62,0,2017,3,16,1,3,5,3,1,1,0,0,0,0,0,688357.4187,5341104.1759,11.534718598,48.195211148,1,#66c2a5,bicycle
170761,"9,17E+18",9,1,62,0,2017,3,17,1,2,5,3,1,1,0,0,0,0,0,700885945.0,5334446.1455,11.699981738,48.131536852,1,#66c2a5,bicycle
170762,"9,17E+18",9,1,62,0,2017,3,14,1,2,8,1,0,1,1,0,0,0,0,690144.6725,5334760.9752,11.555908746,48.13766616,2,#fc8d62,car
170765,"9,17E+18",9,7,61,0,2017,3,19,1,3,0,7,1,0,0,0,0,1,0,641927.9515,5359869.6057,10.916644857,48.376021054,1,#66c2a5,bicycle
170775,"9,17E+18",9,1,90,157,2017,3,16,1,3,2,6,0,1,0,0,0,0,0,660346.0137,5301069149.0,11.143092928,47.842955535,2,#fc8d62,car
170777,"9,17E+18",9,1,87,182,2017,3,14,1,3,4,6,1,0,0,0,0,0,0,738294.94,5328081725.0,12.1984713,48.061463284,1,#66c2a5,bicycle
170779,"9,17E+18",9,1,78,144,2017,3,12,1,3,5,3,0,1,0,0,0,0,0,706979.3306,5379652422.0,11.80398216,48.53580664,2,#fc8d62,car
170780,"9,17E+18",9,1,78,143,2017,3,10,1,2,0,7,1,0,0,0,0,0,0,716825.7919,5372493.0841,11.933478225,48.468158694,1,#66c2a5,bicycle
170781,"9,17E+18",9,1,77,112,2017,3,6,1,3,8,1,0,1,0,0,0,1,0,714434.0679,5364048.94,11.896844152,48.393108009,2,#fc8d62,car
