ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,Teilnehmer,color,symbol
9,1,86,143,2018,1,23,4,3,8,7,2,0,1,0,0,0,0,1,680427.1191,5381227387.0,11.445323702,48.558159203,2,#fc8d62,car
9,1,81,130,2018,1,11,3,3,4,2,0,0,1,0,1,0,0,0,639916.5834,5323459.1808,10.877486799,48.049068252,2,#fc8d62,car
9,7,72,223,2018,1,13,7,2,2,7,0,0,1,0,0,1,0,0,624957.5441,5364290.1162,10.688896652,48.419362322,2,#fc8d62,car
9,7,71,142,2018,1,15,7,2,0,2,0,0,1,0,0,0,0,0,645631.9773,5351699.9076,10.963810673,48.3017204,2,#fc8d62,car
9,1,74,141,2018,1,13,4,2,5,3,0,0,1,0,0,0,1,0,683550.8966,5355676.0218,11.476422978,48.327595912,2,#fc8d62,car
9,1,77,139,2018,1,13,3,3,6,4,0,0,1,1,0,0,0,0,731916.2004,5360024.7977,12.130442806,48.350773812,2,#fc8d62,car
9,7,61,0,2018,1,9,3,3,3,6,0,0,1,0,0,1,0,0,643422.3004,5360793.4817,10.937128406,48.383990148,2,#fc8d62,car
9,7,78,203,2018,1,18,2,2,6,2,2,0,1,1,0,0,0,0,622199.7427,5324615.4959,10.640189906,48.063105816,2,#fc8d62,car
9,7,61,0,2018,1,16,2,3,0,5,1,0,1,0,1,0,0,0,643794.0965,5357575.8585,10.94104685,48.35497446,2,#fc8d62,car
9,1,87,122,2018,1,20,4,3,5,3,2,0,1,0,0,0,0,0,718211.1993,5308153.5927,11.919162079,47.889583941,2,#fc8d62,car
9,1,86,128,2018,1,18,7,3,0,6,2,0,1,0,1,0,0,0,678334.7906,5383433.0694,11.417938412,48.578583039,2,#fc8d62,car
9,1,74,131,2018,1,7,3,3,2,6,1,0,1,0,0,0,0,0,676697.7387,5357579.6893,11.384845124,48.346660567,2,#fc8d62,car
9,1,84,130,2018,1,11,7,3,2,6,0,0,1,0,0,0,0,0,697637.5979,5342287.1077,11.660015936,48.203022308,2,#fc8d62,car
9,1,84,119,2018,1,9,7,3,2,6,0,0,1,0,0,0,0,0,696233.1188,5347427.4709,11.643513545,48.249655689,2,#fc8d62,car
