Jahr,Monat,Wochentag,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige
2020,5,7,61,67,6,29,2,6
2020,6,1,105,128,20,26,7,19
2020,6,2,138,182,19,40,14,26
2020,6,3,80,112,14,18,15,18
2020,6,4,98,114,4,30,7,17
2020,6,5,111,129,11,35,10,13
2020,6,6,71,100,13,20,2,9
2020,6,7,56,60,5,19,0,6
2020,7,1,112,178,17,38,14,21
2020,7,2,102,148,12,38,10,6
2020,7,3,134,179,19,40,13,29
2020,7,4,146,191,12,45,13,25
2020,7,5,136,185,20,45,7,30
2020,7,6,90,105,12,38,2,15
2020,7,7,62,76,8,24,1,6
2020,8,1,96,119,12,27,7,17
2020,8,2,95,116,13,25,7,15
2020,8,3,107,131,17,32,9,19
2020,8,4,98,116,13,29,11,16
2020,8,5,107,129,11,36,6,21
2020,8,6,113,120,13,36,0,18
2020,8,7,72,76,4,29,0,4
2020,9,1,104,126,20,28,6,22
2020,9,2,152,195,23,31,13,23
2020,9,3,122,167,19,40,9,24
2020,9,4,123,157,11,41,5,20
2020,9,5,120,158,11,36,10,14
2020,9,6,101,115,10,32,3,14
2020,9,7,88,90,11,24,0,11
2020,10,1,118,144,24,26,11,19
2020,10,2,88,110,11,21,9,15
2020,10,3,94,131,13,19,11,11
2020,10,4,140,173,23,27,14,26
2020,10,5,144,178,29,32,17,18
2020,10,6,95,105,14,20,1,11
2020,10,7,64,70,7,13,1,10
2020,11,1,91,124,16,10,16,14
2020,11,2,84,98,11,14,5,13
2020,11,3,69,92,11,8,6,11
2020,11,4,83,100,9,11,5,13
2020,11,5,89,111,15,9,9,12
2020,11,6,65,82,6,10,2,9
2020,11,7,44,58,2,14,0,6
2020,12,1,90,105,17,11,7,13
2020,12,2,108,126,14,7,11,15
2020,12,3,85,96,12,6,7,17
2020,12,4,84,91,15,5,10,20
2020,12,5,85,94,22,6,9,11
2020,12,6,44,49,5,2,1,2
2020,12,7,40,45,5,3,1,2
2021,1,1,80,83,8,4,10,11
2021,1,2,88,95,9,1,5,10
2021,1,3,69,73,6,1,9,11
2021,1,4,65,73,13,2,7,7
2021,1,5,69,74,11,4,6,8
2021,1,6,50,57,10,1,1,7
2021,1,7,50,53,3,0,2,7
2021,2,1,71,88,11,5,5,7
2021,2,2,56,67,10,1,2,9
2021,2,3,91,99,11,10,10,11
2021,2,4,107,114,15,14,10,15
2021,2,5,79,90,12,11,6,18
2021,2,6,49,55,9,5,2,7
2021,2,7,45,47,11,8,0,1
2021,3,1,106,122,20,17,8,9
2021,3,2,117,136,18,27,13,14
2021,3,3,133,154,16,22,17,13
2021,3,4,78,93,11,9,7,10
2021,3,5,101,106,11,14,10,12
2021,3,6,56,62,9,3,1,11
2021,3,7,49,45,5,13,2,1
2021,4,1,77,78,7,19,8,16
2021,4,2,75,80,13,13,7,16
2021,4,3,108,106,14,25,15,16
2021,4,4,120,145,20,21,17,15
2021,4,5,99,122,18,28,6,19
2021,4,6,70,78,7,19,4,13
2021,4,7,63,57,4,34,2,3
2021,5,1,111,130,20,27,8,15
2021,5,2,85,98,9,19,10,13
2021,5,3,95,113,11,9,7,14
2021,5,4,72,85,13,21,1,17
2021,5,5,93,112,11,25,4,13
2021,5,6,85,95,12,33,0,15
2021,5,7,86,78,4,45,2,11
2021,6,1,145,175,19,49,9,30
2021,6,2,148,191,21,44,11,28
2021,6,3,172,223,23,50,14,27
2021,6,4,132,160,16,40,7,27
2021,6,5,159,187,23,52,4,30
2021,6,6,110,110,9,37,2,24
2021,6,7,72,81,7,21,1,13
2021,7,1,131,164,17,34,17,27
2021,7,2,124,170,14,32,8,24
2021,7,3,123,156,16,31,16,26
2021,7,4,168,211,25,43,13,32
2021,7,5,186,215,29,39,10,35
2021,7,6,146,165,11,49,3,22
2021,7,7,86,93,5,22,1,9
2021,8,1,111,134,10,19,11,19
2021,8,2,124,142,12,32,16,18
2021,8,3,122,146,14,41,12,30
2021,8,4,100,111,10,23,11,25
2021,8,5,115,117,9,34,6,19
2021,8,6,119,129,6,36,7,15
2021,8,7,80,84,6,17,0,10
2021,9,1,114,127,15,31,8,25
2021,9,2,131,148,20,42,9,36
2021,9,3,157,176,16,43,8,24
2021,9,4,173,214,21,41,16,36
2021,9,5,133,161,18,39,4,33
2021,9,6,124,130,12,36,3,28
2021,9,7,103,105,8,41,1,12
2021,10,1,103,123,12,16,17,9
2021,10,2,96,123,21,23,7,17
2021,10,3,130,156,17,25,8,28
2021,10,4,102,123,20,13,12,25
2021,10,5,188,233,24,39,9,35
2021,10,6,99,122,11,27,2,17
2021,10,7,101,113,5,36,2,15
2021,11,1,143,161,20,12,7,28
2021,11,2,145,177,16,17,14,19
2021,11,3,84,101,12,7,8,11
2021,11,4,95,115,18,10,7,13
2021,11,5,116,131,12,20,10,21
2021,11,6,79,94,22,4,3,10
2021,11,7,63,68,5,10,0,2
2021,12,1,81,101,12,2,8,15
2021,12,2,86,102,16,1,5,7
2021,12,3,126,156,25,6,13,12
2021,12,4,122,148,18,6,7,15
2021,12,5,138,149,16,10,5,14
2021,12,6,65,66,12,4,0,9
2021,12,7,44,52,2,1,1,2
